Subject,Catalog,Section,Component,Session,MinUnits,Units,TotEnrl,CapEnrl,Instructor,Capacity,Room,Mtg Start,Mtg End,Days,Start Date,End Date,Term,Campus,Class Nbr,Total Credits,DUP,FULL,OVER
PHY, 202,01WL,LAB,1,0,0,0,0,"Staff,Tba",24,236,11:00:00 AM,1:45:00 PM,M,1/9/2023,5/6/2023,2232,HT,24459,0,,FULL,
PHY, 202,50H,LEC,1,4,4,1,24,"Michaels,Robert Williams",24,420,5:30:00 PM,6:45:00 PM,TR,1/9/2023,5/6/2023,2232,MAIN,23584,4,,,
PHY, 202,50HL,LAB,1,0,0,1,24,"Michaels,Robert Williams",24,400,7:00:00 PM,9:40:00 PM,T,1/9/2023,5/6/2023,2232,MAIN,23585,0,,,
PHY, 202,D01,DED,1,4,4,8,12,"Kuchina,Elena",30,TUAL,,,,1/9/2023,5/6/2023,2232,MAIN,50805,32,,,
PHY, 202,D01L,LAB,1,4,0,8,12,"Kuchina,Elena",30,TUAL,,,,1/9/2023,5/6/2023,2232,MAIN,50808,0,,,
PHY, 202,DC90,DED,1,4,4,0,12,"Kuchina,Elena",30,TUAL,,,,1/9/2023,5/6/2023,2232,MAIN,50824,0,,,
PHY, 202,DC9L,LAB,1,4,0,0,12,"Kuchina,Elena",30,TUAL,,,,1/9/2023,5/6/2023,2232,MAIN,50825,0,,,
PHY, 241,50H,LEC,1,4,4,2,24,"Staff,Tba",24,422,5:30:00 PM,6:45:00 PM,TR,1/9/2023,5/6/2023,2232,MAIN,23738,8,,,
PHY, 241,50HL,LAB,1,0,0,2,24,"Staff,Tba",24,400,7:00:00 PM,9:40:00 PM,R,1/9/2023,5/6/2023,2232,MAIN,23739,0,,,
PHY, 241,D01,DED,1,4,4,22,23,"Kuchina,Elena",30,TUAL,,,,1/9/2023,5/6/2023,2232,MAIN,24276,88,,,
PHY, 241,D01L,LAB,1,4,0,22,23,"Kuchina,Elena",30,TUAL,,,,1/9/2023,5/6/2023,2232,MAIN,24277,0,,,
